original_feedback_id,sub_point_number,total_sub_points,topic,sub_point_text,original_full_text,was_split,processing_method
51,2,2,Recommendations for International Student Inclusion and Equal Opportunity,SIT should consider increasing opportunities for international students to ensure equal access compared to Thai students. This could involve making more activities international student/English-friendly and opening SAMOSIT to international students as well.,"The activities are fun and pretty helpful, but like I said before maybe SIT can consider to open more for international student (like make more activities that international student/english friendly, open SAMOSIT for international student too) so that we have equal opportunity as Thai student",TRUE,Gemini API
57,1,2,Common Room Monitor Request,Please add monitors to Common Rooms.,"Please add monitors to Common Rooms, and add better WiFi connectivity to CB2 classroom as it either keeps disconnecting or wouldn’t appear in the WiFi list, especially SIT-Secure.",TRUE,Gemini API
57,2,2,CB2 Classroom WiFi Improvement,"Please add better WiFi connectivity to the CB2 classroom because the WiFi connection either keeps disconnecting or doesn't appear in the WiFi list, especially for SIT-Secure.","Please add monitors to Common Rooms, and add better WiFi connectivity to CB2 classroom as it either keeps disconnecting or wouldn’t appear in the WiFi list, especially SIT-Secure.",TRUE,Gemini API
60,1,3,CB Building Comfort & Rating Improvement,"I would rate the CB building's comfort level at 4/10 previously because the facilities were uncomfortable, but after recent changes, I think the comfort has slightly improved to a 7/10.","For CB building Imma give it 4/10 because before they change the facilities in CB building everything is anything but comfortable, but now I think its slightly better 7/10. As for LX I would give it 8.5/10 sometimes 9/10 just the AC problem sometimes.
Suggestion please change all the chair/desk/table if it's still those old horrible one which sometimes can't even hold tablet or laptop properly (You know the old table + chair one that can flip, some of those are even older than me). If possible add more electrical plug in CB building too. For LX, it would be great if the AC are more adjustable, you know, sometimes its too hot sometimes too cold.",TRUE,Gemini API
60,2,3,CB Building Furniture & Electrical Outlet Suggestions,"I suggest changing all the old, horrible chair/desk/table sets in the CB building, especially the ones that flip and are too old to properly hold a tablet or laptop. Additionally, it would be great if more electrical plugs could be added in the CB building.","For CB building Imma give it 4/10 because before they change the facilities in CB building everything is anything but comfortable, but now I think its slightly better 7/10. As for LX I would give it 8.5/10 sometimes 9/10 just the AC problem sometimes.
Suggestion please change all the chair/desk/table if it's still those old horrible one which sometimes can't even hold tablet or laptop properly (You know the old table + chair one that can flip, some of those are even older than me). If possible add more electrical plug in CB building too. For LX, it would be great if the AC are more adjustable, you know, sometimes its too hot sometimes too cold.",TRUE,Gemini API
60,3,3,LX Building Rating & AC Adjustability,"I would rate the LX building at 8.5/10, sometimes even 9/10, but there's an occasional AC problem. It would be great if the air conditioning in the LX building could be more adjustable, as it's sometimes too hot and other times too cold.","For CB building Imma give it 4/10 because before they change the facilities in CB building everything is anything but comfortable, but now I think its slightly better 7/10. As for LX I would give it 8.5/10 sometimes 9/10 just the AC problem sometimes.
Suggestion please change all the chair/desk/table if it's still those old horrible one which sometimes can't even hold tablet or laptop properly (You know the old table + chair one that can flip, some of those are even older than me). If possible add more electrical plug in CB building too. For LX, it would be great if the AC are more adjustable, you know, sometimes its too hot sometimes too cold.",TRUE,Gemini API
63,1,2,Internet Performance in CB Building,"The internet in the CB building is extremely slow, and I'm not sure if the signal is being blocked.","The internet in CB building is extremely slow. I'm not sure if the signal is being blocked. Requesting a VM takes a very long time, staff pass responsibilities to each other, and the process has too many steps with many limitations.",TRUE,Gemini API
63,2,2,Virtual Machine (VM) Request Process Issues,"Requesting a Virtual Machine (VM) takes a very long time, staff pass responsibilities to each other during the process, and the VM request process has too many steps with many limitations.","The internet in CB building is extremely slow. I'm not sure if the signal is being blocked. Requesting a VM takes a very long time, staff pass responsibilities to each other, and the process has too many steps with many limitations.",TRUE,Gemini API
74,1,3,Scholarship Restrictions and Decreasing Award Amounts,"Scholarships for Thai students have too many restrictions, and the Academic Award amount decreases every year. This situation is very disappointing, as many students rely on this financial support.","Scholarship Limitations:
Scholarships have too many restrictions for Thai students, and the Academic Award amount decreases every year. This is very disappointing, as many students rely on this financial support.
International Student Support:
Moving to a foreign country is already difficult. I hope the faculty can make us feel warm and safe by building a stronger community for international students.
Internship Support:
The faculty needs to provide much more support for internships. Jobs for international students are very rare and often pay less than positions for Thai students. I would like to see partnerships similar to those in the Engineering faculty to make finding internships easier.",TRUE,Gemini API
74,2,3,International Student Community and Support,Moving to a foreign country is already difficult for international students. The faculty should build a stronger community for international students to help them feel warm and safe.,"Scholarship Limitations:
Scholarships have too many restrictions for Thai students, and the Academic Award amount decreases every year. This is very disappointing, as many students rely on this financial support.
International Student Support:
Moving to a foreign country is already difficult. I hope the faculty can make us feel warm and safe by building a stronger community for international students.
Internship Support:
The faculty needs to provide much more support for internships. Jobs for international students are very rare and often pay less than positions for Thai students. I would like to see partnerships similar to those in the Engineering faculty to make finding internships easier.",TRUE,Gemini API
74,3,3,Internship Support and Challenges for International Students,"The faculty needs to provide much more support for internships, especially since jobs for international students are very rare and often pay less than positions for Thai students. Students would like to see partnerships, similar to those in the Engineering faculty, to make finding internships easier.","Scholarship Limitations:
Scholarships have too many restrictions for Thai students, and the Academic Award amount decreases every year. This is very disappointing, as many students rely on this financial support.
International Student Support:
Moving to a foreign country is already difficult. I hope the faculty can make us feel warm and safe by building a stronger community for international students.
Internship Support:
The faculty needs to provide much more support for internships. Jobs for international students are very rare and often pay less than positions for Thai students. I would like to see partnerships similar to those in the Engineering faculty to make finding internships easier.",TRUE,Gemini API
76,1,2,Preferred Learning Platform for LNG Class,"In the LNG class, AJ.Jarah is currently using Line as a learning platform. I would prefer to use Microsoft Teams instead, as Microsoft Teams is perceived as more professional.","LNG class, AJ.Jarah making Line as a learning platform, I want it to be on Microsoft team as it's more professional. Also when she give us assignment it's not very clear as she always use line and has no recording",TRUE,Gemini API
76,2,2,Assignment Clarity and Communication Issues,Assignments given by AJ.Jarah are not very clear. This lack of clarity is due to the instructor always using Line for assignment communication and not providing any recordings.,"LNG class, AJ.Jarah making Line as a learning platform, I want it to be on Microsoft team as it's more professional. Also when she give us assignment it's not very clear as she always use line and has no recording",TRUE,Gemini API
91,1,2,Activity Frequency Comparison,IA organizes activities much more frequently than SIT.,"IA organizes activities much more frequently than SIT. Additionally, P'Nui's English communication skills are limited, which often makes communication difficult.",TRUE,Gemini API
91,2,2,P'Nui's English Communication Skills,"P'Nui's English communication skills are limited, which often makes communication difficult.","IA organizes activities much more frequently than SIT. Additionally, P'Nui's English communication skills are limited, which often makes communication difficult.",TRUE,Gemini API
92,1,2,newacis Site Performance During Registration,The newacis site can handle the traffic during the registration period quite well.,The newacis site can handling the traffic of registration period quite well. The same as when i need an inquiry of official documents -- the process is fast and efficient.,TRUE,Gemini API
92,2,2,Efficiency of Official Document Inquiry Process,"When I need to inquire about official documents, the process is fast and efficient.",The newacis site can handling the traffic of registration period quite well. The same as when i need an inquiry of official documents -- the process is fast and efficient.,TRUE,Gemini API
93,1,2,Overall Service Quality,The service is provided well.,The service is provided well but it can be hard to communicate or know who exactly to contact for what. It also sometimes take quite long for some processes,TRUE,Gemini API
93,2,2,Communication Clarity and Process Efficiency,"It can be hard to communicate with the service provider or know who exactly to contact for specific inquiries, and some processes within the service delivery also sometimes take quite long.",The service is provided well but it can be hard to communicate or know who exactly to contact for what. It also sometimes take quite long for some processes,TRUE,Gemini API
94,1,1,Positive Impact of IA (KMUTT),"IA (KMUTT) are really helpful and full of activities, which makes me feel like home.",IA (KMUTT) are really helpful and full of activities. Because of them I can feel like home,FALSE,Gemini API
96,1,2,Satisfaction with Mandatory CS Program Activities,"As a student from the CS program, which is originally an English program, I find most of the mandatory activities to be fine and good.","Since I'm from CS which originally english program, most of the mandatory activity is fine, is good. But there's a lot activities that held in thai that we, as international student would love to participate but because of it's not english-friendly we can't do anything even though we try to be active at univ",TRUE,Gemini API
96,2,2,Barrier to International Student Participation in Thai-Language Activities,"However, there are many university activities held in Thai that international students would love to participate in, but because these activities are not English-friendly, international students cannot participate, even though they try to be active at the university.","Since I'm from CS which originally english program, most of the mandatory activity is fine, is good. But there's a lot activities that held in thai that we, as international student would love to participate but because of it's not english-friendly we can't do anything even though we try to be active at univ",TRUE,Gemini API
98,1,2,Internship Opportunity Accessibility for Non-Thai Students,"Regarding internship opportunities, the student notes that firm and company presentations occur periodically, but these opportunities are primarily targeted at Thai students.","Looking at the Internship opportunities, there are firm/company presentation from time to time. But they are mostly for Thai students. I love SIT Culture activities. But there are a lot of rooms for improvement.",TRUE,Gemini API
98,2,2,SIT Culture Activities: Appreciation and Improvement Areas,The student expresses appreciation for SIT Culture activities but also identifies many areas where these activities could be improved.,"Looking at the Internship opportunities, there are firm/company presentation from time to time. But they are mostly for Thai students. I love SIT Culture activities. But there are a lot of rooms for improvement.",TRUE,Gemini API
104,1,1,International Student Communication and Activity Accessibility,"SIT activities should be held in English or as part of an international student program. Additionally, international students find that important announcements are often only written or announced in Thai, which makes international students feel behind and excluded most of the time.","As i mention before, it would be better if there's SIT activities that held in english or international student program, also there's some announcement that we found it's pretty important that only written/announce in thai which make us feel behind and excluded most of the time.",FALSE,Gemini API
110,1,3,Information Dissemination Challenges for International Students,"Important academic and opportunity-related information, such as details about the Taiwan internship or related programs, does not always reach Burmese students and other international students in a timely or clear manner. This information gap creates inequality in access to opportunities and leaves students unsure about whom to contact for guidance or clarification, especially when students from other international majors have already been preparing for similar opportunities since the previous semester.","Important academic and opportunity-related information does not always reach Burmese students (or other international students) in a timely or clear manner. For example, information about the Taiwan internship or related programs was not well communicated, while students from other international majors had already been preparing since the previous semester. This information gap creates inequality in access to opportunities and leaves students unsure about whom to contact for guidance or clarification.
I hope the SIT International Relations office can be more proactive in sharing information about exchange programs and overseas internships. The Faculty of Engineering and Science has its own International Affairs office, which is very active in regularly posting and announcing overseas opportunities. In comparison, SIT IR has been relatively quiet, and some students are not even aware that the office exists.
If workload or capacity is an issue, perhaps the university could consider hiring additional staff or involving student assistants to help with outreach and communication.",TRUE,Gemini API
110,2,3,Call for Proactivity from SIT International Relations Office,"The SIT International Relations office needs to be more proactive in sharing information about exchange programs and overseas internships. In comparison to the very active Faculty of Engineering and Science's International Affairs office, which regularly posts and announces overseas opportunities, the SIT International Relations office has been relatively quiet, leading to some students not even being aware that the office exists.","Important academic and opportunity-related information does not always reach Burmese students (or other international students) in a timely or clear manner. For example, information about the Taiwan internship or related programs was not well communicated, while students from other international majors had already been preparing since the previous semester. This information gap creates inequality in access to opportunities and leaves students unsure about whom to contact for guidance or clarification.
I hope the SIT International Relations office can be more proactive in sharing information about exchange programs and overseas internships. The Faculty of Engineering and Science has its own International Affairs office, which is very active in regularly posting and announcing overseas opportunities. In comparison, SIT IR has been relatively quiet, and some students are not even aware that the office exists.
If workload or capacity is an issue, perhaps the university could consider hiring additional staff or involving student assistants to help with outreach and communication.",TRUE,Gemini API
110,3,3,Staffing Solutions for SIT International Relations Office,"If workload or capacity is an issue for the SIT International Relations office, the university should consider hiring additional staff or involving student assistants to help with outreach and communication regarding international opportunities.","Important academic and opportunity-related information does not always reach Burmese students (or other international students) in a timely or clear manner. For example, information about the Taiwan internship or related programs was not well communicated, while students from other international majors had already been preparing since the previous semester. This information gap creates inequality in access to opportunities and leaves students unsure about whom to contact for guidance or clarification.
I hope the SIT International Relations office can be more proactive in sharing information about exchange programs and overseas internships. The Faculty of Engineering and Science has its own International Affairs office, which is very active in regularly posting and announcing overseas opportunities. In comparison, SIT IR has been relatively quiet, and some students are not even aware that the office exists.
If workload or capacity is an issue, perhaps the university could consider hiring additional staff or involving student assistants to help with outreach and communication.",TRUE,Gemini API
